Masses:	m0 = 0.500000	m1 = 0.500000	
t	x0	y0	z0	x1	y1	z1	px0	py0	pz0	px1	py1	pz1	
1.00000000000000000000e+01	2.43644281384018590586e+00	1.52052306434219075548e+00	-3.37851788650793774006e-04	-2.43461094912844711047e+00	-1.52165318303898788876e+00	-3.19075030073761667718e-05	-9.22753281335355474146e-02	1.06112488006889910119e-01	-6.12149822625507572093e-05	9.26248548496199641811e-02	-1.06211135207172444050e-01	1.51788809064867182984e-05	
1.10000000000000000000e+01	2.32084007859407259744e+00	1.64545027965245216350e+00	-4.11368288792069694473e-04	-2.31866671776251642711e+00	-1.64680987670775147436e+00	-8.98422534897819381619e-06	-1.01069974639649506898e-01	1.00151264518438268269e-01	-3.38714187803913408296e-05	1.01084675478307892127e-01	-1.00271869908081928680e-01	3.23979584581762780886e-05	
1.20000000000000000000e+01	2.19523556186368651311e+00	1.76247271736867938685e+00	-4.57539432985091870307e-04	-2.19304185860642952832e+00	-1.76402208750326661146e+00	6.42747963424150669295e-05	-1.09713102738619450172e-01	9.35644426963077036064e-02	-6.83152500718661406407e-05	1.09702401568829766010e-01	-9.36353944699813423025e-02	9.00532477368037409613e-05	
1.30000000000000000000e+01	2.06006000989822535274e+00	1.87082177080485201337e+00	-5.84528133228612669682e-04	-2.05783762003890968728e+00	-1.87251103345215152984e+00	1.38276880803227231707e-04	-1.18105755768842329845e-01	8.62727282502230435890e-02	-1.15702645687939731562e-04	1.18126111853318088718e-01	-8.63583673234503274019e-02	5.19981896041069163446e-05	
1.40000000000000000000e+01	1.91573519986516305202e+00	1.96964814255217324224e+00	-7.60041443797239554478e-04	-1.91347254996511462188e+00	-1.97151441376834823949e+00	9.59292043961845980558e-05	-1.26287291517027888688e-01	7.82193416113582812299e-02	-1.07544237160174120703e-04	1.26319237715181470483e-01	-7.83087334427013948002e-02	-5.56014443166186317336e-05	
1.50000000000000000000e+01	1.76270164489023439813e+00	2.05808905912319861642e+00	-9.55510591267711676018e-04	-1.76038496027331281546e+00	-2.06019084707244948262e+00	-2.37657719886892425517e-05	-1.34192782715516739644e-01	6.93741108075553586376e-02	-1.23118931705925595786e-04	1.34244875516704914586e-01	-6.95241719733997176611e-02	2.99734974657140409949e-06	
1.60000000000000000000e+01	1.60150236705468329568e+00	2.13536440122501902650e+00	-1.01266467115699448920e-03	-1.59902559877973371449e+00	-2.13762558149018921938e+00	9.07505990505093492436e-07	-1.41783578737163296069e-01	5.97659047458635878103e-02	-4.41405138674721682444e-05	1.41870877316039839533e-01	-5.98458792865614944145e-02	3.86092333918703196861e-05	
1.70000000000000000000e+01	1.43273390617068452357e+00	2.20055099470629356162e+00	-1.06652130383843310804e-03	-1.42997277167142056165e+00	-2.20298060008057472459e+00	4.15199290902819838356e-05	-1.48937080820130296477e-01	4.92091635650388353751e-02	-4.45798445785441536460e-05	1.49158698527555089175e-01	-4.92983784699107946414e-02	1.79383829072448552000e-05	
1.80000000000000000000e+01	1.25704570868586285037e+00	2.25269322616128109260e+00	-1.10705184005438256496e-03	-1.25385169597744328129e+00	-2.25531238303914616239e+00	5.77902658744516601209e-05	-1.55740259433447020276e-01	3.77367943105354625155e-02	-1.07456652934737333267e-05	1.55928662832354736345e-01	-3.78398298873869609604e-02	1.09985871450494500888e-05	
1.90000000000000000000e+01	1.07511278261054843419e+00	2.29091992994834026121e+00	-1.09269761204576357563e-03	-1.07153662503715407794e+00	-2.29371558822087218132e+00	8.61879239503856491370e-05	-1.61925229599781672629e-01	2.53432627078904598728e-02	6.82064567034094287358e-06	1.62147417324474824030e-01	-2.54217934189694197422e-02	2.26421989285924073849e-05	
